Algiers;3.04;36.75
Luanda;13.23;-8.84
Porto-Novo;2.6;6.5
Gaborone;25.91;-24.65
Ouagadougou;-1.53;12.37
Bujumbura;29.36;-3.38
Yaoundé;11.52;3.87
Praia;-23.51;14.93
Bangui;18.55;4.36
N'Djamena;15.04;12.11
Moroni;43.26;-11.7
Kinshasa;15.31;-4.32
Djibouti;43.15;11.59
Cairo;31.25;30.06
Malabo;8.78;3.75
Asmara;38.93;15.33
Addis Ababa;38.75;9.02
Libreville;9.45;0.39
Banjul;-16.58;13.45
Accra;-0.2;5.56
Conakry;-13.68;9.54
Bissau;-15.6;11.86
Yamoussoukro;-5.28;6.82
Nairobi;36.82;-1.28
Maseru;27.48;-29.32
Monrovia;-10.8;6.3
Tripoli;13.19;32.88
Antananarivo;47.54;-18.91
Lilongwe;33.79;-13.97
Bamako;-8;12.65
Nouakchott;-15.98;18.09
Port Louis;57.5;-20.16
Mamoutzou;45.23;-12.78
Rabat;-6.83;34.01
Maputo;32.58;-25.97
Windhoek;17.08;-22.56
Niamey;2.11;13.51
Abuja;7.48;9.07
Brazzaville;15.28;-4.27
Saint-Denis;55.45;-20.88
Kigali;30.06;-1.95
Jamestown;-5.72;-15.94
São Tomé;6.73;0.34
Dakar;-17.44;14.69
Victoria;55.45;-4.62
Freetown;-13.23;8.48
Mogadishu;45.34;2.04
Pretoria;28.19;-25.74
Khartoum;32.53;15.55
Mbabane;31.13;-26.32
Dodoma;35.74;-6.17
Lomé;1.21;6.14
Tunis;10.17;36.82
Kampala;32.58;0.32
El Aaiún;-13.2;27.16
Lusaka;28.29;-15.41
Harare;31.05;-17.83
