Tirana;19.82;41.33
Andorra la Vella;1.52;42.51
Vienna;16.37;48.21
Minsk;27.57;53.9
Brussels;4.35;50.85
Sarajevo;18.36;43.85
Sofia;23.32;42.7
Zagreb;15.98;45.81
Nicosia;33.37;35.17
Prague;14.42;50.09
Copenhagen;12.57;55.68
Tallinn;24.75;59.44
Tórshavn;-6.77;62.01
Helsinki;24.94;60.17
Paris;2.35;48.85
Berlin;13.41;52.52
Gibraltar;-5.35;36.14
Athens;23.72;37.98
St Peter Port;-2.54;49.46
Budapest;19.04;47.5
Reykjavík;-21.9;64.14
Dublin;-6.25;53.33
Douglas;-4.48;54.15
Rome;12.48;41.89
Saint Helier;-2.1;49.19
Pristina;21.17;42.67
Riga;24.11;56.95
Vaduz;9.52;47.14
Vilnius;25.28;54.69
Luxembourg;6.13;49.61
Skopje;21.43;42
Valletta;14.51;35.9
Chişinău;28.86;47.01
Monaco;7.42;43.73
Podgorica;19.26;42.44
Amsterdam;4.89;52.37
Oslo;10.75;59.91
Warsaw;21.01;52.23
Lisbon;-9.13;38.72
Bucharest;26.11;44.43
Moscow;37.62;55.75
San Marino;12.45;43.94
Belgrade;20.47;44.8
Bratislava;17.11;48.15
Ljubljana;14.51;46.05
Madrid;-3.7;40.42
Longyearbyen;15.64;78.22
Stockholm;18.06;59.33
Berne;7.45;46.95
Kiev;30.52;50.45
London;-0.13;51.51
Vatican;12.45;41.9
