Barbra;Cloe
Louis;Rufino
Idelle;Mady
Björn;Giedrius
Cloe;Glenys
Barbra;Vittorio
Mady;Rufino
Barbra;Marwa
Cloe;Louis
Björn;Faizel
Giedrius;Rufino
Mady;Vittore
Giedrius;Louis
Cloe;Placide
Cloe;Teodor
Kirsa;Vittorio
Idelle;Marwa
Placide;Rufino
Giedrius;Illtyd
Björn;Cloe
Björn;Rufino
Louis;Placide
Barbra;Rufino
Louis;Vittorio
Olavi;Placide
Rufino;Teodor
Louis;Olavi
Faizel;Rufino
Olavi;Vittorio
Barbra;Louis
Placide;Vittorio
Barbra;Kirsa
Illtyd;Rufino
Jakob;Mady
Barbra;Vittore
Björn;Idelle
Cloe;Vittore
Olavi;Teodor
Jakob;Placide
Cain;Vittorio
Barbra;Faizel
Giedrius;Mady
Kirsa;Vittore
Barbra;Mady
Jakob;Kirsa
Björn;Mady
Björn;Teodor
Cloe;Vittorio
Illtyd;Olavi
Olavi;Rufino
Giedrius;Glenys
Rufino;Vittorio
Björn;Olavi
Björn;Louis
Louis;Vittore
Mady;Teodor
Vittore;Vittorio
Faizel;Placide
Cloe;Mady
Cain;Placide
Mady;Vittorio
Cloe;Idelle
Mady;Placide
Giedrius;Vittorio
Faizel;Olavi
Björn;Vittore
Idelle;Illtyd
Barbra;Olavi
